Cluster,Topics
151,"terminal, fuel, supply, marine, diesel"
152,"repair, cardiothoracic, prostheses, heart, valve"
153,"feeder, wooroloo, karnet, farm, prison"
154,"centre, awareness, cultural, engagement, aboriginal"
155,"engineer, manager, morley, line, ellenbrook"
156,"wa, case, headquarters, force, police"
157,"licences, license, enterprise, etla, adobe"
158,"education, high, relocation, wycombe, yard"
159,"required, repairs, contractor, breakdown, maintenance"
160,"infrastructure, backup, busport, replacement, storage"
161,"site, australia, western, force, police"
162,"construction, 79, street, 77, lot"
163,"data, health, healthnext, program, analyst"
164,"new, primary, panel, building, room"
165,"foreshore, harbour, rocks, boat, marina"
166,"06, bulk, 07, order, gas"
167,"scholarship, staff, career, training, program"
168,"strategy, writer, program, technical, kaartdijin"
169,"hawkins, field, executive, administration, assistant"
170,"centre, mrwa, bms, don, aitken"
171,"education, replacement, school, primary, roof"
172,"telehealth, solutions, technical, solution, architect"
173,"west, drinking, transwa, water, testing"
174,"newborn, newborns, health, relocation, women"
175,"regional, south, campuses, tafe, security"
176,"brand, supply, panels, interactive, led"
177,"finance, contract, supply, contractor, manager"
178,"icts2015, support, administrator, administration, database"
179,"construction, groh, dwelling, bed, bath"
180,"campus, australia, health, contract, awarded"
181,"office, design, workplace, interior, fitout"
182,"em, rocks, marina, asbestos, lapis"
183,"workplace, materials, training, plan, asbestos"
184,"australia, western, issued, force, police"
185,"tool, l5, database, consultant, manager"
186,"readiness, resource, knowledge, strategy, ict"
187,"cath, hospital, sir, charles, radiology"
188,"support, software, centre, operations, security"
189,"capacity, control, automatic, train, signalling"
190,"specialists, campus, geraldton, country, health"
191,"aboriginal, premier, cabinet, publication, printing"
192,"cuacmd2014, supply, school, primary, ipads"
193,"covered, mural, walkway, design, walkways"
194,"pfm, programmed, shs, repairs, roof"
195,"susceptibility, antimicrobial, cov, microbiology, sars"
196,"shown, sum, trades, tend, erer"
197,"hou201912641, change, hosting, cloud, migration"
198,"advisory, consultancy, facilities, justice, custodial"
199,"boat, skip, removal, harbour, rubbish"
200,"custodian, rhu, procurement, advisory, probity"
201,"security, clinics, 19, vaccination, covid"
202,"ptc, transwa, authority, public, transport"
203,"upgrade, systems, security, force, police"
204,"microbiology, medicine, laboratory, purchase, pathwest"
205,"mfpf, station, force, hvac, police"
206,"data, analysis, spatial, geo, gis"
207,"bay, bays, park, parking, car"
208,"retailer, research, lottery, lotteries, lotterywest"
209,"data, interactive, installation, projector, projectors"
210,"seed, dead, harvesting, dreaming, sandalwood"
211,"conservation, parks, zoological, perth, zoo"
212,"yandeyarra, removal, contaminated, remediation, asbestos"
213,"pilbara, routine, testing, various, electrical"
214,"prison, station, facility, upgrade, cctv"
215,"supply, spectrometer, mass, icp, instrument"
216,"serviceswa, oag007054, gareth, development, servicewa"
217,"australian, support, providers, hss, health"
218,"2022, october, 31, officer, environmental"
219,"modernisation, screen, green, technologies, icwa"
220,"scgh, hospital, sir, charles, gairdner"
221,"capital, provide, seeking, transport, dot"
222,"accreditation, 2016, construction, code, building"
223,"products, pine, fpc, commission, forest"
224,"membership, hrt, health, roundtable, subscription"
225,"school, conversion, science, room, primary"
226,"dpird2022065, dpird2022066, 90, 95, tractor"
227,"corporate, offers, customer, market, research"
228,"control, consultant, senior, network, engineer"
229,"shenton, secondary, college, cuaelc2012, electricity"
230,"campus, albany, health, oncology, radiation"
231,"digital, tourism, content, wa, website"
232,"support, planning, review, approvals, environmental"
233,"establish, tree, standing, forest, commission"
234,"nominated, issued, proposals, schools, request"
235,"requirements, documentation, implementation, ict, gathering"
236,"iragul, demolition, divestment, site, reserve"
237,"quotes, regional, albany, fence, prison"
238,"school, education, primary, removal, gla"
239,"collection, bags, metropolitan, disposal, litter"
240,"cuagnict2015, 2022, term, network, contract"
241,"super, member, insurance, superannuation, gesb"
242,"contractor, dbca, attractions, conservation, biodiversity"
243,"support, professional, environment, personnel, environmental"
244,"participation, ventures, registered, abdwa, aboriginal"
245,"accommodation, construction, 500, lot, units"
246,"leaders, gartner, subscription, research, advisory"
247,"security, station, upgrade, police, cctv"
248,"schools, education, secondary, ec21, cost"
249,"modular, dwelling, bed, statewide, bath"
250,"desk, staff, temp, cuatps2019, personnel"
251,"outcomes, requires, manager, ict, dmirs"
252,"25, docking, plus, pro, surface"
253,"field, wachs, supply, officer, windows"
254,"health, river, country, margaret, ambulatory"
255,"functional, engaged, manual, analyst, test"
256,"staff, redeployment, talent, candidate, recruitment"
257,"upgrade, pty, pfm, programmed, quotes"
258,"plantations, biomass, products, sale, forest"
259,"bio, development, greenhouse, regional, industries"
260,"senior, grant, support, grants, officer"
261,"non, attendance, mandatory, education, site"
262,"ellen, ellenbrook, line, morley, power"
263,"region, superstructure, structures, repairs, substructure"
264,"street, handyman, stirling, office, furniture"
265,"coordination, incident, security, hotels, quarantine"
266,"feasibility, public, active, transit, transport"
267,"zone, development, ecological, dpird, aquaculture"
268,"fremantle, camera, ophthalmology, hospital, eye"
269,"recovery, planning, disaster, incident, continuity"
270,"dmirs21925, development, application, java, developer"
271,"upgrade, road, broome, cape, leveque"
272,"gabrielle, thirot, ryan, personnel, temp"
273,"licence, licensing, support, annual, oracle"
274,"counsellor, additional, counsellors, counselling, financial"
275,"plans, culturally, prevention, aboriginal, suicide"
276,"refurbishment, consultancy, health, transperth, architectural"
277,"development, documentation, working, teams, creation"
278,"replacement, roofing, repairs, block, roof"
279,"hardware, support, equipment, maintenance, cisco"
280,"kodak, state, scanners, library, scanner"
281,"blended, modernisation, ui, ict, icwa"
282,"vad, ict, digital, transformation, program"
283,"support, enhancements, online, tier, water"
284,"information, network, ict, cyber, security"
285,"school, primary, consultancy, civil, geotech"
286,"hoist, plaster, glass, battening, ceiling"
287,"dmirs20375, bid752020, developer, test, analyst"
288,"industries, development, regional, kununurra, cleaning"
289,"wa, kalgoorlie, surgical, country, health"
290,"solution, interfaces, lead, replacement, lis"
291,"customer, senior, support, officer, personnel"
292,"australia, western, force, station, police"
293,"perth, hospital, icu, royal, intensive"
294,"island, wreck, shoals, rowley, bedwell"
295,"hss, hssia21, audits, internal, audit"
296,"quarantine, centre, coordination, state, incident"
297,"environmental, site, investigation, sites, contaminated"
298,"education, contract, awarded, primary, school"
299,"nmhs, hospital, private, security, health"
300,"alcohol, review, evaluation, reviews, program"
301,"australia, station, western, force, police"
302,"hospital, medical, metropolitan, instrument, health"
303,"health, aod, alcohol, mhc, mental"
304,"new, community, plant, water, treatment"
305,"software, development, java, analyst, programming"
306,"heat, artic, 5000, temperature, sun"
307,"perth, royal, health, theatre, hospital"
308,"kalgoorlie, plant, heavy, crt, workshop"
309,"industries, local, football, sport, cultural"
310,"authority, zoo, parks, zoological, zpa"
311,"state, planning, incident, surge, testing"
312,"aqure, wa, medicine, laboratory, pathwest"
313,"contractors, refreshment, primary, school, toilet"
314,"regarding, hill, financial, detention, banksia"
315,"physiotherapy, regional, practitioner, offenders, custody"
316,"notebooks, cuacmd2021, notebook, teachers, round"
317,"program, people, care, aboriginal, transition"
318,"case, country, kalgoorlie, mental, health"
319,"education, primary, administration, building, school"
320,"existing, design, shall, scope, drawings"
321,"planned, bmw, maintenance, region, southern"
322,"master, concept, health, surgicentre, bentley"
323,"telephone, integrated, centre, ip, telephony"
324,"sector, agreements, bodies, peak, advocacy"
325,"stimulus, primary, school, architectural, education"
326,"midland, nmt, training, belt, splicing"
327,"access, classes, equity, practical, driving"
328,"genealogical, crematorium, racks, fremantle, mortuary"
329,"transportation, approximately, passenger, bus, seats"
330,"archipelago, monitoring, art, rock, murujuga"
331,"office, information, attractions, conservation, biodiversity"
332,"collabration, application, ict, manager, program"
333,"gateway, compute, cuagnict2015, private, cloud"
334,"supply, pv, stroke, outboard, motors"
335,"paper, copy, office, supplies, stationery"
336,"delivery, supply, aviation, litre, fuel"
337,"replacement, multifunction, devices, copy, mfd"
338,"bank, spoilbank, hedland, marina, port"
339,"hospital, hss105219, health, medical, transcription"
340,"septic, repairs, school, education, water"
341,"transport, public, authority, pta, bus"
342,"low, critical, voltage, standalone, supplies"
343,"primary, high, education, roof, school"
344,"finance, d365, d365fo, transition, microsoft"
345,"accelerated, reporting, modelling, model, financial"
346,"replacement, annual, fleet, desktop, computers"
347,"group, ancap, reference, noongar, metronet"
348,"digital, placement, park, whiteman, advertising"
349,"records, performed, contractor, agents, access"
350,"structures, bridge, underpass, load, rating"
351,"goods, providers, supply, consumables, health"
352,"rights, liability, courts, contractor, principal"
353,"primary, education, school, refurbishment, toilet"
354,"infrastructure, supply, equipment, network, cisco"
355,"implications, camhs, ach, soci, cuaafa2018"
356,"plan, 2021, 2020, internal, audit"
357,"kimberley, imaging, fitzroy, wachs, ambulance"
358,"contractor, transport, public, authority, pta"
359,"49, street, 42, dwelling, lot"
360,"reduce, received, eligible, goods, price"
361,"solution, digital, visual, audio, signage"
362,"education, artwork, school, art, percent"
363,"school, primary, classroom, installation, education"
364,"carpet, arena, tiles, stadium, hbf"
365,"education, school, high, district, derby"
366,"5y, 65, dna, wireless, cisco"
367,"bay, installation, 1x, education, gla"
368,"lead, architecture, managed, architect, data"
369,"desk, procurement, contractor, officer, agency"
370,"surveys, metronet, weed, sites, offset"
371,"ellen, wheal, abandoned, site, sites"
372,"trailer, refit, research, naturaliste, vessel"
373,"rail, assessment, analysis, quantitative, risk"
374,"homelessness, consultancy, short, stay, accommodation"
375,"vulnerability, testing, cyber, security, penetration"
376,"mei, drfawa, officer, drfa, claims"
377,"authority, upgrade, electrical, rottnest, island"
378,"transperth, facility, joondalup, bus, depot"
379,"dpird2022128, öld, personnel, maintenance, planner"
380,"lexisnexis, annual, online, subscription, legal"
381,"hardware, supply, server, servers, blade"
382,"systems, protection, finance, maintenance, routine"
383,"signalling, stadium, footing, 294, signal"
384,"railways, facility, rail, freight, kenwick"
385,"participation, 2021, influenza, evaluation, program"
386,"ppeci, cms, early, pta, atc"
387,"west, mid, gascoyne, office, geraldton"
388,"classroom, school, primary, grove, wattle"
389,"100, laptops, cuacmd2021, latitude, dell"
390,"country, case, dialysis, health, renal"
391,"laptops, desktop, pcs, computers, supply"
392,"rfid, arena, venueswest, stadium, hbf"
393,"surveys, survey, cultural, aboriginal, heritage"
394,"network, gateway, contracted, cua, govnext"
395,"procurement, estimating, high, capacity, signalling"
396,"rise, school, primary, electricity, cuaelc2012"
397,"transformation, cuaicts2015, implementation, manager, ict"
398,"satisfaction, delivery, review, functional, customer"
399,"refurbishment, metropolitan, fremantle, health, hospital"
400,"licence, maintenance, software, licenses, renewal"
401,"approvals, extension, rail, byford, metronet"
402,"planner, scheduler, probity, scheduling, metronet"
403,"maintenance, embankment, drains, civil, drainage"
404,"bunbury, busselton, stop, bus, embayment"
405,"hafco, tafe, delivery, supply, lathes"
406,"main, roads, region, kimberley, traffic"
407,"jobs, tse, total, solar, eclipse"
408,"primary, walls, operable, doors, concertina"
409,"06, 07, staff, order, uniforms"
410,"pmc, program, upgrade, platform, signalling"
411,"station, australia, western, force, police"
412,"safe, reasonably, school, time, bus"
413,"advisory, coastwa, geotechnical, beach, coastal"
414,"bentley, training, tafe, dtwd, campus"
415,"aws, cbs, configuration, systems, administrator"
416,"fmis, finance, hosted, implementation, financial"
417,"vocational, auspice, rto, registered, training"
418,"education, construction, transportable, block, toilet"
419,"plan, inspector, broome, definition, custodial"
420,"software, ict, support, contract, procurement"
421,"officer, requires, dmirs, manager, change"
422,"australian, cunderdin, college, agriculture, tractor"
423,"musculoskeletal, health, johnson, ultrasound, spinal"
424,"rooms, equipment, av, visual, audio"
425,"tto, technician, draftsperson, engineer, mechanical"
426,"metropolitan, campus, smhs, health, lift"
427,"metropolitan, primary, regional, development, industries"
428,"albany, tafe, campus, disposal, waste"
429,"engine, automotive, tafe, dynamometer, training"
430,"air, ventilation, heating, maintenance, hvac"
431,"support, foster, transition, home, care"
432,"networking, govnext, support, administration, network"
433,"transformation, phc, health, campus, peel"
434,"alcohol, inpatient, community, health, mental"
435,"entity, site, attend, mandatory, attendees"
436,"awale, sharma, finance, drfawa, officer"
437,"education, interior, college, block, tuart"
438,"numberplate, cameras, ocr, automatic, recognition"
439,"preparation, native, wheatbelt, bank, revegetation"
440,"bores, installation, new, bore, switchboard"
441,"mtb, bike, mountain, trail, trails"
442,"production, proposed, stockpiling, pit, gravel"
443,"imaging, magnetic, mri, resonance, health"
444,"state, review, support, health, consultancy"
445,"memorial, pinnaroo, lounge, chapel, condolence"
446,"wa, 2020, panel, recovery, architectural"
447,"registration, immediate, removal, disposal, vessel"
448,"supply, hire, tanami, hired, plant"
449,"emc, maintenance, cisco, renewal, smartnet"
450,"print, messaging, broadcast, monitoring, media"
451,"northern, slk, shoulders, highway, seal"
452,"centre, hill, detention, banksia, juvenile"
453,"senior, cuaafa2018, consultant, advisory, procurement"
454,"programmed, quotes, classroom, school, new"
455,"110, 80, finance, supply, laptops"
456,"providers, clinical, lockdown, shicc, pathology"
457,"media, branding, audience, communications, research"
458,"specialised, needs, child, complex, care"
459,"building, kalgoorlie, ndy, gallery, rooftop"
460,"dtf, strategy, personnel, directorate, communications"
461,"rail, inner, crossing, byford, armadale"
462,"rise, education, gla, carnaby, primary"
463,"api, pow, asm, developer, net"
464,"electrical, replacement, engineer, systems, radio"
465,"classroom, school, education, primary, brabham"
466,"school, senior, education, panel, cost"
467,"writing, print, copy, press, printing"
468,"lower, chemical, medical, emhs, gases"
